,lh.lateralorbitofrontal,lh.parsorbitalis,lh.frontalpole,lh.medialorbitofrontal,lh.parstriangularis,lh.parsopercularis,lh.rostralmiddlefrontal,lh.superiorfrontal,lh.caudalmiddlefrontal,lh.precentral,lh.paracentral,lh.rostralanteriorcingulate,lh.caudalanteriorcingulate,lh.posteriorcingulate,lh.isthmuscingulate,lh.postcentral,lh.supramarginal,lh.superiorparietal,lh.inferiorparietal,lh.precuneus,lh.cuneus,lh.pericalcarine,lh.lateraloccipital,lh.lingual,lh.fusiform,lh.parahippocampal,lh.entorhinal,lh.temporalpole,lh.inferiortemporal,lh.middletemporal,lh.bankssts,lh.superiortemporal,lh.transversetemporal,lh.insula,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Accumbens-area,Right-Hippocampus,Right-Amygdala,rh.lateralorbitofrontal,rh.parsorbitalis,rh.frontalpole,rh.medialorbitofrontal,rh.parstriangularis,rh.parsopercularis,rh.rostralmiddlefrontal,rh.superiorfrontal,rh.caudalmiddlefrontal,rh.precentral,rh.paracentral,rh.rostralanteriorcingulate,rh.caudalanteriorcingulate,rh.posteriorcingulate,rh.isthmuscingulate,rh.postcentral,rh.supramarginal,rh.superiorparietal,rh.inferiorparietal,rh.precuneus,rh.cuneus,rh.pericalcarine,rh.lateraloccipital,rh.lingual,rh.fusiform,rh.parahippocampal,rh.entorhinal,rh.temporalpole,rh.inferiortemporal,rh.middletemporal,rh.bankssts,rh.superiortemporal,rh.transversetemporal,rh.insula,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Accumbens-area,Left-Hippocampus,Left-Amygdala,Brain-Stem
lh.cuneus,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lh.pericalcarine,,,,,,,,,,,,,,,,,,2.5,4.0,,,,2.875,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lh.lateraloccipital,,,,,,,,,,,,,,,,,,,2.0,3.0,,2.875,,3.5,2.8333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lh.lingual,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lh.fusiform,,,,,,,,,,,,,,,,,,,3.0,,,2.0,2.8333333333333335,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
lh.parahippocampal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,
lh.entorhinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
lh.temporalpole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,
lh.inferiortemporal,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
lh.middletemporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lh.bankssts,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,
lh.superiortemporal,,,,,,,,,,,,,,,,,,3.0,4.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75,,
lh.transversetemporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
lh.insula,,,,,,2.0,2.0,,3.0,4.166666666666667,,,,,,2.0,3.0,9.5,7.0,,,,,,,,,,3.0,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6666666666666665,2.0,3.8333333333333335,,,5.0,3.3333333333333335,
Right-Thalamus-Proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,17.0,7.0,5.0,53.0,5.0,,,,,,,,,,4.5,,,,4.0,,,3.0,,,,,,,,,,,,,,,,,4.5,25.0,3.0,,,,,,35.0
Right-Caudate,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,19.0,,64.0,54.0,2.0,17.0,5.0,3.3333333333333335,,,3.0,,4.5,3.1666666666666665,3.4,4.583333333333333,4.2,,9.5,6.833333333333333,3.875,4.0,,3.5,,,,,,,,,,,,,,,,,2.0,6.0,156.0,,,3.0,,,2.0
Right-Putamen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,64.0,,8.0,2.0,4.0,4.0,6.909090909090909,,,8.5,3.0,7.5,6.208333333333333,3.2,9.285714285714286,13.307692307692308,,6.5,,4.0,,6.0,5.3,11.5,,,,,,,,,,,,,,,,4.857142857142857,,,,,,,,
Right-Pallidum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,54.0,8.0,,2.0,11.0,3.0,,,,,,4.0,,,3.0,5.666666666666667,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right-Accumbens-area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,2.0,2.0,,7.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Right-Hippocampus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,17.0,4.0,11.0,7.0,,3.0,,,,,,,,,,,,,,,3.3333333333333335,,6.0,,5.5,3.0,,,,,2.0,2.0,3.0,,,3.5,6.0,4.25,,4.875,,,,,,,,2.0
Right-Amygdala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.666666666666667,,,,,,,,
rh.lateralorbitofrontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3333333333333335,6.909090909090909,,,,,,,,2.0,2.3333333333333335,,2.9,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rh.parsorbitalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rh.frontalpole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rh.medialorbitofrontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.5,,,,,2.0,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rh.parstriangularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,2.3333333333333335,,,,,,4.428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rh.parsopercularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,7.5,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
rh.rostralmiddlefrontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1666666666666665,6.208333333333333,,,,,2.9,,,2.8,4.428571428571429,,,3.142857142857143,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rh.superiorfrontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3.2,,,,,3.0,,,,,4.0,3.142857142857143,,5.2,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rh.caudalmiddlefrontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.583333333333333,9.285714285714286,3.0,,,,,,,,,,3.0,5.2,,4.0,,,3.0,,,,,,,,,,,,,,,,,,,,,4.666666666666667,,,,,,,,
rh.precentral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4.2,13.307692307692308,5.666666666666667,,,,,,,,,,,2.0,4.0,,3.75,,,2.0,,3.0,9.0,5.5,,,,,,,,,,,,,,,,3.0,,,,,,,,
rh.paracentral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.75,,,,,,2.5,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
rh.rostralanteriorcingulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,6.5,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
rh.caudalanteriorcingulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.833333333333333,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
rh.posteriorcingulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.875,4.0,2.0,,,,,,,,,,,,,2.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
rh.isthmuscingulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,3.3333333333333335,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
rh.postcentral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,3.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rh.supramarginal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.5,5.3,,,6.0,,,,,,,,,,,9.0,3.0,,,4.0,,,,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
