Node,X,Y,Z,Type,Hemisphere,Region,Super_Region
54,47.86676017,69.96213184,47.89340813,cortical,left,rh.caudalanteriorcingulate,limbic
55,48,51.39815668,50.6202765,cortical,left,rh.posteriorcingulate,limbic
56,48.25218659,41.6851312,41.1574344,cortical,left,rh.isthmuscingulate,limbic
57,65.27928389,50.41713555,54.88235294,cortical,left,rh.postcentral,parietal
58,69.60832514,44.09898394,49.81284825,cortical,left,rh.supramarginal,parietal
59,54.97836982,30.5333685,53.52914798,cortical,left,rh.superiorparietal,parietal
60,65.56197787,31.4838564,46.47143825,cortical,left,rh.inferiorparietal,parietal
61,50.42891076,34.25008483,50.35595521,cortical,left,rh.precuneus,parietal
62,48.53673724,25.23412204,39.55541719,cortical,left,rh.cuneus,occipital
63,50.30191693,26.67252396,34.89776358,cortical,left,rh.pericalcarine,occipital
64,59.24117647,22.33613445,32.39803922,cortical,left,rh.lateraloccipital,occipital
65,51.14585192,29.34968778,29.26360393,cortical,left,rh.lingual,occipital
66,61.92384562,42.11853894,24.54548587,cortical,left,rh.fusiform,temporal
67,56.26045627,48.80418251,26.02091255,cortical,left,rh.parahippocampal,temporal
68,55.91336634,61.21534653,19.65841584,cortical,left,rh.entorhinal,temporal
69,57.88209607,71.34934498,20.59679767,cortical,left,rh.temporalpole,temporal
70,69.02394842,48.5237949,23.16364753,cortical,left,rh.inferiortemporal,temporal
71,72.44444444,53.68130406,26.48835662,cortical,left,rh.middletemporal,temporal
72,70.72847682,45.42715232,34.5794702,cortical,left,rh.bankssts,temporal
73,70.57514097,59.2277519,32.41358176,cortical,left,rh.superiortemporal,temporal
74,66.16111111,53.69166667,37.30277778,cortical,left,rh.transversetemporal,temporal
75,61.95915916,62.47267267,35.08708709,cortical,left,rh.insula,limbic
76,51.03064904,53.87439904,37.59795673,subcortical,left,Left-Thalamus-Proper,basal_ganglia
77,51.22564935,64.71428571,41.37175325,subcortical,left,Left-Caudate,basal_ganglia
78,57.16567164,62.63208955,35.63656716,subcortical,left,Left-Putamen,basal_ganglia
79,53.7755611,60.70573566,34.30673317,subcortical,left,Left-Pallidum,basal_ganglia
80,47.42704626,65.96085409,31.90035587,subcortical,left,Left-Accumbens-area,basal_ganglia
81,56.00270027,52.26732673,28.83168317,subcortical,left,Left-Hippocampus,limbic
82,54.91442155,62.89857369,26.07290016,subcortical,left,Left-Amygdala,limbic
83,44.57597245,50.37965964,19.79801459,subcortical,left,Brain-Stem,brain_stem
